Country Name,Country Code,Series Name,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GDP (current US$B),NY.GDP.MKTP.CD,,3.521,2.814,3.826,4.521,5.225,6.203,6.972,9.748,10.109,12.416,15.857,17.805,19.907,20.146,20.497,19.134,18.117,18.753,18.053,18.799,19.956,14.266,14.502,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,-9.432,28.6,8.832,1.414,11.23,5.357,13.826,3.925,21.391,14.362,0.426,12.752,5.601,2.725,1.451,2.26,2.647,1.189,3.912,-2.351,-20.739,-6.24,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,180.188,142.903,182.174,199.643,221.831,254.115,274.015,376.318,382.534,453.387,562.499,608.739,653.417,638.733,626.513,566.881,523.053,526.141,492.091,497.741,512.055,355.778,352.604,
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,-10.102,20.568,0.927,-2.497,7.322,1.085,11.803,1.865,17.144,11.099,-3.211,8.247,2.003,-0.965,-1.666,-0.346,-0.254,-1.689,0.933,-5.365,-22.967,-8.587,
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,12.686,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,2.495,,,,1.692,,7.915,,,11.184,,,11.71,5.679,,
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,0.389,0.393,,0.4,,,
Afghanistan,AFG,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,GDP (current US$B),NY.GDP.MKTP.CD,3.212,3.48,3.922,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.927,12.891,12.32,12.776,13.228,11.387,11.861,13.02,15.156,15.402,15.163,17.931,18.916,22.978
